executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url,
13489,Presidential Records,1/26/09,1/21/09,74 FR 4669, E9-1712,"Revokes: EO 13233, November 1, 2001",https://www.federalregister.gov/articles/2009/01/26/E9-1712/presidential-records,
13490,Ethics Commitments by Executive Branch Personnel,1/26/09,1/21/09,74 FR 4673, E9-1719,,https://www.federalregister.gov/articles/2009/01/26/E9-1719/ethics-commitments-by-executive-branch-personnel,
13491,Ensuring Lawful Interrogations,1/27/09,1/22/09,74 FR 4893, E9-1885,"See: EO 13567, March 7, 2011;
;  Revokes: EO 13440, July 20, 2007",https://www.federalregister.gov/articles/2009/01/27/E9-1885/ensuring-lawful-interrogations,
13492,Review and Disposition of Individuals Detained At the Guant[aacute]namo Bay Naval Base and Closure of Detention Facilities,1/27/09,1/22/09,74 FR 4897, E9-1893,"See: EO 13567, March 7, 2011",https://www.federalregister.gov/articles/2009/01/27/E9-1893/review-and-disposition-of-individuals-detained-at-the-guantaacutenamo-bay-naval-base-and-closure-of,
13493,Review of Detention Policy Options,1/27/09,1/22/09,74 FR 4901, E9-1895,,https://www.federalregister.gov/articles/2009/01/27/E9-1895/review-of-detention-policy-options,
13494,Economy in Government Contracting,2/4/09,1/30/09,74 FR 6101, E9-2483,"Amended by: EO 13517, October 30, 2009",https://www.federalregister.gov/articles/2009/02/04/E9-2483/economy-in-government-contracting,
13495,Nondisplacement of Qualified Workers Under Service Contracts,2/4/09,1/30/09,74 FR 6103, E9-2484,"Revokes: EO 13204, February 17, 2001",https://www.federalregister.gov/articles/2009/02/04/E9-2484/nondisplacement-of-qualified-workers-under-service-contracts,
13496,Notification of Employee Rights Under Federal Labor Laws,2/4/09,1/30/09,74 FR 6107, E9-2485,"Revokes: EO 13201, February 17, 2001",https://www.federalregister.gov/articles/2009/02/04/E9-2485/notification-of-employee-rights-under-federal-labor-laws,
13497,Revocation of Certain Executive Orders Concerning Regulatory Planning and Review,2/4/09,1/30/09,74 FR 6113, E9-2486,"Revokes: EO 13258, February 26, 2002; EO 13422, January 18, 2007;
;  See: EO 12866, September 30, 1993",https://www.federalregister.gov/articles/2009/02/04/E9-2486/revocation-of-certain-executive-orders-concerning-regulatory-planning-and-review,
13498,Amendments to Executive Order 13199 and Establishment of the President's Advisory Council for Faith-Based and Neighborhood Partnerships,2/9/09,2/5/09,74 FR 6533, E9-2893,"Amends: EO 13199, July 29, 2001;
;  See: EO 13559, November 17, 2010; EO 13569, April 5, 2011",https://www.federalregister.gov/articles/2009/02/09/E9-2893/amendments-to-executive-order-13199-and-establishment-of-the-presidents-advisory-council-for,
13499,"Further Amendments to Executive Order 12835, Establishment of the National Economic Council",2/11/09,2/5/09,74 FR 6979, E9-3106,"Amends: EO 12835, January 25, 1993",https://www.federalregister.gov/articles/2009/02/11/E9-3106/further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council,
13500,"Further Amendments to Executive Order 12859, Establishment of the Domestic Policy Council",2/11/09,2/5/09,74 FR 6981, E9-3108,"Amends: EO 12859, August 16, 1993",https://www.federalregister.gov/articles/2009/02/11/E9-3108/further-amendments-to-executive-order-12859-establishment-of-the-domestic-policy-council,
13501,Establishment of the President's Economic Recovery Advisory Board,2/11/09,2/6/09,74 FR 6983, E9-3112,"Revoked by: EO 13564, January 31, 2011",https://www.federalregister.gov/articles/2009/02/11/E9-3112/establishment-of-the-presidents-economic-recovery-advisory-board,
13502,Use of Project Labor Agreements for Federal Construction Projects,2/11/09,2/6/09,74 FR 6985, E9-3113,"Revokes: EO 13202, February 17, 2001; EO 13208, April 6, 2001",https://www.federalregister.gov/articles/2009/02/11/E9-3113/use-of-project-labor-agreements-for-federal-construction-projects,
13503,Establishment of the White House Office of Urban Affairs,2/24/09,2/19/09,74 FR 8139, E9-4068,,https://www.federalregister.gov/articles/2009/02/24/E9-4068/establishment-of-the-white-house-office-of-urban-affairs,
13504,Amending Executive Order 13390,2/24/09,2/20/09,74 FR 8431, E9-4103,"Amends: EO 13390, November 1, 2005",https://www.federalregister.gov/articles/2009/02/24/E9-4103/amending-executive-order-13390,
13505,Removing Barriers to Responsible Scientific Research Involving Human Stem Cells,3/11/09,3/9/09,74 FR 10667, E9-5441,"Revokes: EO 13435, June 20, 2007",https://www.federalregister.gov/articles/2009/03/11/E9-5441/removing-barriers-to-responsible-scientific-research-involving-human-stem-cells,
13506,Establishing a White House Council on Women And Girls,3/16/09,3/11/09,74 FR 11271, E9-5802,,https://www.federalregister.gov/articles/2009/03/16/E9-5802/establishing-a-white-house-council-on-women-and-girls,
13507,Establishment of the White House Office of Health Reform,4/13/09,4/8/09,74 FR 17071, E9-8572,"Revoked by: EO 13569, April 5, 2011",https://www.federalregister.gov/articles/2009/04/13/E9-8572/establishment-of-the-white-house-office-of-health-reform,
13508,Chesapeake Bay Protection and Restoration,5/15/09,5/12/09,74 FR 23099, E9-11547,,https://www.federalregister.gov/articles/2009/05/15/E9-11547/chesapeake-bay-protection-and-restoration,
13509,Establishing a White House Council on Automotive Communities and Workers,6/26/09,6/23/09,74 FR 30903, E9-15368,"Revoked by: EO 13578, July 6, 2011",https://www.federalregister.gov/articles/2009/06/26/E9-15368/establishing-a-white-house-council-on-automotive-communities-and-workers,
13510,Waiver Under the Trade Act of 1974 With Respect to the Republic of Belarus,7/6/09,7/1/09,74 FR 32047, E9-16034,,https://www.federalregister.gov/articles/2009/07/06/E9-16034/waiver-under-the-trade-act-of-1974-with-respect-to-the-republic-of-belarus,
13511,Continuance of Certain Federal Advisory Committees,10/1/09,9/29/09,74 FR 50909, E9-23886,"Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12367, February 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002; ;
;  Supersedes in part: EO 13446, September 28, 2007;
;  Superseded by: EO 13585, September 30, 2011",https://www.federalregister.gov/articles/2009/10/01/E9-23886/continuance-of-certain-federal-advisory-committees,
13512,Amending Executive Order 13390,10/2/09,9/29/09,74 FR 50911, E9-23915,"Amends: EO 13390, November 1, 2005",https://www.federalregister.gov/articles/2009/10/02/E9-23915/amending-executive-order-13390,
13513,Federal Leadership On Reducing Text Messaging While Driving,10/6/09,10/1/09,74 FR 51225, E9-24203,,https://www.federalregister.gov/articles/2009/10/06/E9-24203/federal-leadership-on-reducing-text-messaging-while-driving,
13514,"Federal Leadership in Environmental, Energy, and Economic Performance",10/8/09,10/5/09,74 FR 52117, E9-24518,"See: EO 13423, January 24, 2007",https://www.federalregister.gov/articles/2009/10/08/E9-24518/federal-leadership-in-environmental-energy-and-economic-performance,
13515,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs,10/19/09,10/14/09,74 FR 53635, E9-25268,"Supersedes: EO 13125, June 7, 1999; EO 13339, May 13, 2004;
;  Amended by: EO 13585, September 30, 2011",https://www.federalregister.gov/articles/2009/10/19/E9-25268/increasing-participation-of-asian-americans-and-pacific-islanders-in-federal-programs,
13516,Amending Executive Order 13462,11/2/09,10/28/09,74 FR 56521, E9-26408,"Federal Register correction page and date: 74 FR 57241, November 5, 2009",https://www.federalregister.gov/articles/2009/11/02/E9-26408/amending-executive-order-13462,
13516,Correction,11/5/09,,74 FR 57241, Z9-26408,,https://www.federalregister.gov/articles/2009/11/05/Z9-26408/correction,
13517,Amendments to Executive Orders 13183 and 13494,11/5/09,10/30/09,74 FR 57239, E9-26834,"Amends: EO 13183, December 23, 2000; EO 13494, January 30, 2009",https://www.federalregister.gov/articles/2009/11/05/E9-26834/amendments-to-executive-orders-13183-and-13494,
13518,Employment of Veterans in the Federal Government,11/13/09,11/9/09,74 FR 58533, E9-27441,"See: EO 13583, August 18, 2011",https://www.federalregister.gov/articles/2009/11/13/E9-27441/employment-of-veterans-in-the-federal-government,
13519,Establishment of the Financial Fraud Enforcement Task Force,11/19/09,11/17/09,74 FR 60123, E9-28022,"Terminates: EO 13271, July 9, 2002",https://www.federalregister.gov/articles/2009/11/19/E9-28022/establishment-of-the-financial-fraud-enforcement-task-force,
