executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url
12890,Amendment to Executive Order No. 12864,01/05/1994,12/30/1993,59 FR 499, 94-290,"",https://www.federalregister.gov/articles/1994/01/05/94-290/amendment-to-executive-order-no-12864
12891,Advisory Committee on Human Radiation Experiments,01/20/1994,01/15/1994,59 FR 2935, 94-1531,"Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1994/01/20/94-1531/advisory-committee-on-human-radiation-experiments
12892,Leadership and Coordination of Fair Housing in Federal Programs: Affirmatively Furthering Fair Housing,01/20/1994,01/17/1994,59 FR 2939, 94-1532,"Amends: EO 11063, November 20, 1962;
;  Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980;
;  See: Memorandum, January 17, 1994",https://www.federalregister.gov/articles/1994/01/20/94-1532/leadership-and-coordination-of-fair-housing-in-federal-programs-affirmatively-furthering-fair
12893,Principles for Federal Infrastructure Investments,01/31/1994,01/26/1994,59 FR 4233, 94-2261,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980",https://www.federalregister.gov/articles/1994/01/31/94-2261/principles-for-federal-infrastructure-investments
12894,North Pacific Marine Science Organization,01/31/1994,01/26/1994,59 FR 4237, 94-2267,"See: Memorandum, January 17, 1994",https://www.federalregister.gov/articles/1994/01/31/94-2267/north-pacific-marine-science-organization
12895,North Pacific Anadromous Fish Commission,01/31/1994,01/26/1994,59 FR 4239, 94-2266,"",https://www.federalregister.gov/articles/1994/01/31/94-2266/north-pacific-anadromous-fish-commission
12896,Amending the Civil Service Rules Concerning Political Activity,02/07/1994,02/03/1994,59 FR 5515, 94-2904,"",https://www.federalregister.gov/articles/1994/02/07/94-2904/amending-the-civil-service-rules-concerning-political-activity
12897,Garnishment of Federal Employees' Pay,02/07/1994,02/03/1994,59 FR 5517, 94-2905,See: 59 FR 14541,https://www.federalregister.gov/articles/1994/02/07/94-2905/garnishment-of-federal-employees-pay
12898,Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations,02/16/1994,02/11/1994,59 FR 7629, 94-3685,"Amends: EO 12250, November 2, 1980;
;  Amended by: EO 12948, January 30, 1995",https://www.federalregister.gov/articles/1994/02/16/94-3685/federal-actions-to-address-environmental-justice-in-minority-populations-and-low-income-populations
12899,Establishing an Emergency Board To Investigate a Dispute Between The Long Island Rail Road and Certain of Its Employees Represented by the United Transportation Union,02/17/1994,02/15/1994,59 FR 8113, 94-3853,"",https://www.federalregister.gov/articles/1994/02/17/94-3853/establishing-an-emergency-board-to-investigate-a-dispute-between-the-long-island-rail-road-and
12900,Educational Excellence for Hispanic Americans,02/24/1994,02/22/1994,59 FR 9061, 94-4472,"Revokes: EO 12729, September 24, 1990;
;  Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001;
;  Revoked by: EO 13230, October 12, 2001",https://www.federalregister.gov/articles/1994/02/24/94-4472/educational-excellence-for-hispanic-americans
12901,Identification of Trade Expansion Priorities,03/08/1994,03/03/1994,59 FR 10727, 94-5434,"Amended by: EO 12973, September 27, 1995",https://www.federalregister.gov/articles/1994/03/08/94-5434/identification-of-trade-expansion-priorities
12902,Energy Efficiency and Water Conservation at Federal Facilities,03/10/1994,03/08/1994,59 FR 11463, 94-5834,"Revokes: EO 12759, April 17, 1991;
;  See: EO 13101, September 14, 1998;
;  Revoked by: EO 13123, June 3, 1999",https://www.federalregister.gov/articles/1994/03/10/94-5834/energy-efficiency-and-water-conservation-at-federal-facilities
12903,Nuclear Cooperation With EURATOM,03/11/1994,03/09/1994,59 FR 11473, 94-5915,"Supersedes: EO 12840, March 9, 1993;
;  Superseded by: EO 12955, March 9, 199",https://www.federalregister.gov/articles/1994/03/11/94-5915/nuclear-cooperation-with-euratom
12904,"Commission for Environmental Cooperation, Commission for Labor Cooperation, Border Environment Cooperation Commission, and North American Development Bank",03/21/1994,03/16/1994,59 FR 13179, 94-6696,"",https://www.federalregister.gov/articles/1994/03/21/94-6696/commission-for-environmental-cooperation-commission-for-labor-cooperation-border-environment
12905,Trade and Environment Policy Advisory Committee,03/29/1994,03/25/1994,59 FR 14733, 94-7635,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;
;  Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009;
;  See: EO 13585, September 30, 2011",https://www.federalregister.gov/articles/1994/03/29/94-7635/trade-and-environment-policy-advisory-committee
